"電車はたった今出たところです。","電車[でんしゃ]はたった 今[いま] 出[で]たところです。","The train just left.<br><br>たった 今[いま] - just (now)","El tren acaba de salir.<br><br>たった 今[いま] - justo (ahora)","[sound:JLPT_Tango_N4_0001.mp3]","","単語N4"
"空が暗くなって、今にも雨が降りそうです。","空[そら]が 暗[くら]くなって、 今[いま]にも 雨[あめ]が 降[ふ]りそうです。","The sky is dark, and it looks like it could rain at any moment.<br><br>今[いま]にも - at any time, at any moment","El cielo está oscuro, y parece que podría llover en cualquier momento.<br><br>今[いま]にも - en cualquier momento, en cualquier momento","[sound:JLPT_Tango_N4_0002.mp3]","","単語N4"
"今１１時半。もうすぐランチの時間です。","今[いま]１１ 時半[じはん]。もうすぐランチの 時間[じかん]です。","""It's now 11:30. It will be lunch time soon.<br><br>もうすぐ - soon""","Ahora son las 11:30. Pronto será la hora de comer.<br><br>もうすぐ - pronto","[sound:JLPT_Tango_N4_0003.mp3]","","単語N4"
"A「山下さんは？」<br>B「山下さんなら、さっき帰りましたよ。」","A「 山下[やました]さんは？」 <br>B「 山下[やました]さんなら、さっき 帰[かえ]りましたよ。」","A: Where is Yamashita-san?<br>B: Yamashita-san went home just now.<br><br>さっき - just now, a while ago","A: ¿Dónde está Yamashita? <br>B: Yamashita se fue a casa hace un rato.<br><br>さっき - ahora mismo, hace un rato","[sound:JLPT_Tango_N4_0004.mp3]","","単語N4"
"この頃、寒い日が多いですね。","この 頃[ごろ]、 寒[さむ]い 日[ひ]が 多[おお]いですね。","There have been many cold days recently.<br><br>この 頃[ごろ] - recently, these days<br><br>Used to describe a situation, not actions.","Ha habido muchos días fríos recientemente.<br><br>この 頃[ごろ] - recientemente, estos días<br><br>Se utiliza para describir una situación, no acciones.","[sound:JLPT_Tango_N4_0005.mp3]","","単語N4"
"最近、スペイン語を勉強しています。","最近[さいきん]、スペイン 語[ご]を 勉強[べんきょう]しています。","I have been studying Spanish recently.<br><br>最近[さいきん] - recently<br><br>Used to describe not only actions, but also situation.","He estado estudiando español recientemente.<br><br>最近[さいきん] - recientemente<br><br>Se utiliza para describir no sólo acciones, sino también la situación.","[sound:JLPT_Tango_N4_0006.mp3]","","単語N4"
"A「田中さんは元気ですか。」<br>B「ええ。この間会いましたよ。」","A「 田中[たなか]さんは 元気[げんき]ですか。」 <br>B「ええ。この 間[あいだ] 会[あ]いましたよ。」","A: Is Tanaka-san doing well?<br>B: Yes. I saw him just a while ago.<br><br>この 間[あいだ] - just a while ago","A: ¿Se encuentra bien Tanaka-san?<br>B: Sí. Le he visto hace un rato.<br><br>この 間[あいだ] - hace un rato","[sound:JLPT_Tango_N4_0007.mp3]","","単語N4"
"A「食事するなら、いつがいいですか。」<br>B「私はいつでもいいですよ。」","A「 食事[しょくじ]するなら、いつがいいですか。」 <br>B「 私[わたし]はいつでもいいですよ。」","""A: Since we're going to have a meal, when would be a good time?<br>B: Any time is okay with me.<br><br>いつでも - any time""","A: Ya que vamos a comer, ¿cuándo sería un buen momento?<br>B: Cualquier momento me parece bien.<br><br>いつでも - cualquier momento","[sound:JLPT_Tango_N4_0009.mp3]","","単語N4"
"いつか家族で世界旅行をしたいです。","いつか 家族[かぞく]で 世界[せかい] 旅行[りょこう]をしたいです。","Some day, I would like to travel around the world with my family.<br><br>いつか - some time, some day","Algún día, me gustaría viajar alrededor del mundo con mi familia.<br><br>いつか - algún día, algún día","[sound:JLPT_Tango_N4_0010.mp3]","","単語N4"
"将来、医者に成りたいと思っています。","将来[しょうらい]、 医者[いしゃ]に 成[な]りたいと 思[おも]っています。","""I would like to be a doctor in the future.<br><br>将来[しょうらい] - future<br><br>将来[しょうらい] is used when talking about an individual's future, and  未来[みらい] is used when talking about the future on a wider scale of things like countries or the planet.""","Me gustaría ser médico en el futuro.<br><br>将来[しょうらい] - futuro<br><br>将来[しょうらい] se utiliza cuando se habla del futuro de un individuo, y 未来[みらい] se utiliza cuando se habla del futuro a una escala más amplia de cosas como países o el planeta.","[sound:JLPT_Tango_N4_0011.mp3]","","単語N4"
